,mae_name,C,gamma,tol,eps,mae
165,SVR_0.0005_0.001_1e-07_1.0,0.0005,0.001,1e-07,1.0,9544311.612733364
166,SVR_0.0005_0.001_1e-07_10.0,0.0005,0.001,1e-07,10.0,9544311.612733364
167,SVR_0.0005_0.001_1e-07_100.0,0.0005,0.001,1e-07,100.0,9544311.612733375
168,SVR_0.0005_0.001_1e-06_1e-05,0.0005,0.001,1e-06,1e-05,9544311.612733364
169,SVR_0.0005_0.001_1e-06_0.0001,0.0005,0.001,1e-06,0.0001,9544311.612733364
170,SVR_0.0005_0.001_1e-06_0.001,0.0005,0.001,1e-06,0.001,9544311.612733364
171,SVR_0.0005_0.001_1e-06_0.01,0.0005,0.001,1e-06,0.01,9544311.612733364
172,SVR_0.0005_0.001_1e-06_0.1,0.0005,0.001,1e-06,0.1,9544311.612733364
173,SVR_0.0005_0.001_1e-06_1.0,0.0005,0.001,1e-06,1.0,9544311.612733364
174,SVR_0.0005_0.001_1e-06_10.0,0.0005,0.001,1e-06,10.0,9544311.612733364
175,SVR_0.0005_0.001_1e-06_100.0,0.0005,0.001,1e-06,100.0,9544311.612733375
176,SVR_0.0005_0.001_9.999999999999999e-06_1e-05,0.0005,0.001,9.999999999999999e-06,1e-05,9544311.612733364
177,SVR_0.0005_0.001_9.999999999999999e-06_0.0001,0.0005,0.001,9.999999999999999e-06,0.0001,9544311.612733364
178,SVR_0.0005_0.001_9.999999999999999e-06_0.001,0.0005,0.001,9.999999999999999e-06,0.001,9544311.612733364
179,SVR_0.0005_0.001_9.999999999999999e-06_0.01,0.0005,0.001,9.999999999999999e-06,0.01,9544311.612733364
180,SVR_0.0005_0.001_9.999999999999999e-06_0.1,0.0005,0.001,9.999999999999999e-06,0.1,9544311.612733364
181,SVR_0.0005_0.001_9.999999999999999e-06_1.0,0.0005,0.001,9.999999999999999e-06,1.0,9544311.612733364
182,SVR_0.0005_0.001_9.999999999999999e-06_10.0,0.0005,0.001,9.999999999999999e-06,10.0,9544311.612733364
