,mae_name,C,gamma,tol,eps,mae
222,SVR_0.05_0.001_0.1_0.001,0.05,0.001,0.1,0.001,0.0029924869646532405
223,SVR_0.05_0.001_0.1_0.01,0.05,0.001,0.1,0.01,0.0029924869646532405
224,SVR_0.05_0.01_1e-07_1e-05,0.05,0.01,1e-07,1e-05,0.0010335726211151198
225,SVR_0.05_0.01_1e-07_0.0001,0.05,0.01,1e-07,0.0001,0.0011023299522634478
226,SVR_0.05_0.01_1e-07_0.001,0.05,0.01,1e-07,0.001,0.0012748401004661237
227,SVR_0.05_0.01_1e-07_0.01,0.05,0.01,1e-07,0.01,0.0029924869646532405
228,SVR_0.05_0.01_1e-06_1e-05,0.05,0.01,1e-06,1e-05,0.0010334838049199657
229,SVR_0.05_0.01_1e-06_0.0001,0.05,0.01,1e-06,0.0001,0.0011022431161690882
230,SVR_0.05_0.01_1e-06_0.001,0.05,0.01,1e-06,0.001,0.0012747550030894673
231,SVR_0.05_0.01_1e-06_0.01,0.05,0.01,1e-06,0.01,0.0029924869646532405
232,SVR_0.05_0.01_9.999999999999999e-06_1e-05,0.05,0.01,9.999999999999999e-06,1e-05,0.001033243356335678
233,SVR_0.05_0.01_9.999999999999999e-06_0.0001,0.05,0.01,9.999999999999999e-06,0.0001,0.0011022223193341673
234,SVR_0.05_0.01_9.999999999999999e-06_0.001,0.05,0.01,9.999999999999999e-06,0.001,0.001275002162018124
235,SVR_0.05_0.01_9.999999999999999e-06_0.01,0.05,0.01,9.999999999999999e-06,0.01,0.0029924869646532405
236,SVR_0.05_0.01_9.999999999999999e-05_1e-05,0.05,0.01,9.999999999999999e-05,1e-05,0.0010320239210145576
237,SVR_0.05_0.01_9.999999999999999e-05_0.0001,0.05,0.01,9.999999999999999e-05,0.0001,0.001090016635699609
238,SVR_0.05_0.01_9.999999999999999e-05_0.001,0.05,0.01,9.999999999999999e-05,0.001,0.001278555444004814
239,SVR_0.05_0.01_9.999999999999999e-05_0.01,0.05,0.01,9.999999999999999e-05,0.01,0.0029924869646532405
240,SVR_0.05_0.01_0.001_1e-05,0.05,0.01,0.001,1e-05,0.0010873167988910471
241,SVR_0.05_0.01_0.001_0.0001,0.05,0.01,0.001,0.0001,0.0011030759699947712
242,SVR_0.05_0.01_0.001_0.001,0.05,0.01,0.001,0.001,0.0012157724163602613
243,SVR_0.05_0.01_0.001_0.01,0.05,0.01,0.001,0.01,0.0029924869646532405
244,SVR_0.05_0.01_0.01_1e-05,0.05,0.01,0.01,1e-05,0.0018443538428725148
245,SVR_0.05_0.01_0.01_0.0001,0.05,0.01,0.01,0.0001,0.0019242392147510224
246,SVR_0.05_0.01_0.01_0.001,0.05,0.01,0.01,0.001,0.0018489650824458082
247,SVR_0.05_0.01_0.01_0.01,0.05,0.01,0.01,0.01,0.0029924869646532405
248,SVR_0.05_0.01_0.1_1e-05,0.05,0.01,0.1,1e-05,0.0029924869646532405
249,SVR_0.05_0.01_0.1_0.0001,0.05,0.01,0.1,0.0001,0.0029924869646532405
250,SVR_0.05_0.01_0.1_0.001,0.05,0.01,0.1,0.001,0.0029924869646532405
251,SVR_0.05_0.01_0.1_0.01,0.05,0.01,0.1,0.01,0.0029924869646532405
252,SVR_0.05_0.1_1e-07_1e-05,0.05,0.1,1e-07,1e-05,0.002819701953096487
253,SVR_0.05_0.1_1e-07_0.0001,0.05,0.1,1e-07,0.0001,0.002846927201324645
254,SVR_0.05_0.1_1e-07_0.001,0.05,0.1,1e-07,0.001,0.0029040910747929693
